loggernet_variable,cr1000_name,var_type,research_name,definition,units,link,logger,var_role,table
TDR_2(5),TDR_25,plot,batt_v,NA,NA,111,pioneer,plot,TDR
TDR_b(1),TDR_b1,plot,rawdata,NA,NA,111,pioneer,plot,TDR
TDR_b(2),TDR_b2,plot,permittivity,NA,NA,111,pioneer,plot,TDR
TDR_b(3),TDR_b3,plot,water_content,NA,NA,111,pioneer,plot,TDR
TDR_b(4),TDR_b4,plot,temperature,NA,NA,111,pioneer,plot,TDR
TDR_b(5),TDR_b5,plot,batt_v,NA,NA,111,pioneer,plot,TDR
TDR_3(1),TDR_31,plot,rawdata,NA,NA,112,pioneer,plot,TDR
TDR_3(2),TDR_32,plot,permittivity,NA,NA,112,pioneer,plot,TDR
TDR_3(3),TDR_33,plot,water_content,NA,NA,112,pioneer,plot,TDR
TDR_3(4),TDR_34,plot,temperature,NA,NA,112,pioneer,plot,TDR
TDR_3(5),TDR_35,plot,batt_v,NA,NA,112,pioneer,plot,TDR
TDR_c(1),TDR_c1,plot,rawdata,NA,NA,112,pioneer,plot,TDR
TDR_c(2),TDR_c2,plot,permittivity,NA,NA,112,pioneer,plot,TDR
TDR_c(3),TDR_c3,plot,water_content,NA,NA,112,pioneer,plot,TDR
TDR_c(4),TDR_c4,plot,temperature,NA,NA,112,pioneer,plot,TDR
TDR_c(5),TDR_c5,plot,batt_v,NA,NA,112,pioneer,plot,TDR
TDR_4(1),TDR_41,plot,rawdata,NA,NA,120,pioneer,plot,TDR
TDR_4(2),TDR_42,plot,permittivity,NA,NA,120,pioneer,plot,TDR
TDR_4(3),TDR_43,plot,water_content,NA,NA,120,pioneer,plot,TDR
TDR_4(4),TDR_44,plot,temperature,NA,NA,120,pioneer,plot,TDR
TDR_4(5),TDR_45,plot,batt_v,NA,NA,120,pioneer,plot,TDR
TDR_d(1),TDR_d1,plot,rawdata,NA,NA,120,pioneer,plot,TDR
TDR_d(2),TDR_d2,plot,permittivity,NA,NA,120,pioneer,plot,TDR
TDR_d(3),TDR_d3,plot,water_content,NA,NA,120,pioneer,plot,TDR
TDR_d(4),TDR_d4,plot,temperature,NA,NA,120,pioneer,plot,TDR
TDR_d(5),TDR_d5,plot,batt_v,NA,NA,120,pioneer,plot,TDR
TDR_5(1),TDR_51,plot,rawdata,NA,NA,121,pioneer,plot,TDR
TDR_5(2),TDR_52,plot,permittivity,NA,NA,121,pioneer,plot,TDR
TDR_5(3),TDR_53,plot,water_content,NA,NA,121,pioneer,plot,TDR
TDR_5(4),TDR_54,plot,temperature,NA,NA,121,pioneer,plot,TDR
TDR_5(5),TDR_55,plot,batt_v,NA,NA,121,pioneer,plot,TDR
TDR_e(1),TDR_e1,plot,rawdata,NA,NA,121,pioneer,plot,TDR
TDR_e(2),TDR_e2,plot,permittivity,NA,NA,121,pioneer,plot,TDR
TDR_e(3),TDR_e3,plot,water_content,NA,NA,121,pioneer,plot,TDR
TDR_e(4),TDR_e4,plot,temperature,NA,NA,121,pioneer,plot,TDR
TDR_e(5),TDR_e5,plot,batt_v,NA,NA,121,pioneer,plot,TDR
TDR_6(1),TDR_61,plot,rawdata,NA,NA,122,pioneer,plot,TDR
TDR_6(2),TDR_62,plot,permittivity,NA,NA,122,pioneer,plot,TDR
TDR_6(3),TDR_63,plot,water_content,NA,NA,122,pioneer,plot,TDR
TDR_6(4),TDR_64,plot,temperature,NA,NA,122,pioneer,plot,TDR
TDR_6(5),TDR_65,plot,batt_v,NA,NA,122,pioneer,plot,TDR
TDR_f(1),TDR_f1,plot,rawdata,NA,NA,122,pioneer,plot,TDR
TDR_f(2),TDR_f2,plot,permittivity,NA,NA,122,pioneer,plot,TDR
TDR_f(3),TDR_f3,plot,water_content,NA,NA,122,pioneer,plot,TDR
TDR_f(4),TDR_f4,plot,temperature,NA,NA,122,pioneer,plot,TDR
TDR_f(5),TDR_f5,plot,batt_v,NA,NA,122,pioneer,plot,TDR
TDR_7(1),TDR_71,plot,rawdata,NA,NA,130,pioneer,plot,TDR
TDR_7(2),TDR_72,plot,permittivity,NA,NA,130,pioneer,plot,TDR
TDR_7(3),TDR_73,plot,water_content,NA,NA,130,pioneer,plot,TDR
TDR_7(4),TDR_74,plot,temperature,NA,NA,130,pioneer,plot,TDR
TDR_7(5),TDR_75,plot,batt_v,NA,NA,130,pioneer,plot,TDR
TDR_g(1),TDR_g1,plot,rawdata,NA,NA,130,pioneer,plot,TDR
TDR_g(2),TDR_g2,plot,permittivity,NA,NA,130,pioneer,plot,TDR
TDR_g(3),TDR_g3,plot,water_content,NA,NA,130,pioneer,plot,TDR
TDR_g(4),TDR_g4,plot,temperature,NA,NA,130,pioneer,plot,TDR
TDR_g(5),TDR_g5,plot,batt_v,NA,NA,130,pioneer,plot,TDR
TDR_8(1),TDR_81,plot,rawdata,NA,NA,131,pioneer,plot,TDR
TDR_8(2),TDR_82,plot,permittivity,NA,NA,131,pioneer,plot,TDR
TDR_8(3),TDR_83,plot,water_content,NA,NA,131,pioneer,plot,TDR
TDR_8(4),TDR_84,plot,temperature,NA,NA,131,pioneer,plot,TDR
TDR_8(5),TDR_85,plot,batt_v,NA,NA,131,pioneer,plot,TDR
TDR_h(1),TDR_h1,plot,rawdata,NA,NA,131,pioneer,plot,TDR
TDR_h(2),TDR_h2,plot,permittivity,NA,NA,131,pioneer,plot,TDR
TDR_h(3),TDR_h3,plot,water_content,NA,NA,131,pioneer,plot,TDR
TDR_h(4),TDR_h4,plot,temperature,NA,NA,131,pioneer,plot,TDR
TDR_h(5),TDR_h5,plot,batt_v,NA,NA,131,pioneer,plot,TDR
TDR_9(1),TDR_91,plot,rawdata,NA,NA,132,pioneer,plot,TDR
TDR_9(2),TDR_92,plot,permittivity,NA,NA,132,pioneer,plot,TDR
TDR_9(3),TDR_93,plot,water_content,NA,NA,132,pioneer,plot,TDR
TDR_9(4),TDR_94,plot,temperature,NA,NA,132,pioneer,plot,TDR
TDR_9(5),TDR_95,plot,batt_v,NA,NA,132,pioneer,plot,TDR
TDR_i(1),TDR_i1,plot,rawdata,NA,NA,132,pioneer,plot,TDR
TDR_i(2),TDR_i2,plot,permittivity,NA,NA,132,pioneer,plot,TDR
TDR_i(3),TDR_i3,plot,water_content,NA,NA,132,pioneer,plot,TDR
TDR_i(4),TDR_i4,plot,temperature,NA,NA,132,pioneer,plot,TDR
TDR_i(5),TDR_i5,plot,batt_v,NA,NA,132,pioneer,plot,TDR
row_id,row_id,site,row_id,unique row id,NA,lowmarsh,lowmarsh,key,TDR
time2,time2,site,time2,revised timestamp,NA,lowmarsh,lowmarsh,key,TDR
TIMESTAMP,timestamp,site,timestamp,loggernet timestamp,NA,lowmarsh,lowmarsh,key,TDR
RECORD,record,site,record,record number,NA,lowmarsh,lowmarsh,logger,TDR
Logger,logger,site,logger,logger name,NA,lowmarsh,lowmarsh,key,TDR
Program,program,site,program,program version ,NA,lowmarsh,lowmarsh,logger,TDR
Table,table,site,table,table version,NA,lowmarsh,lowmarsh,logger,TDR
TDR_1(1),TDR_11,plot,rawdata,NA,NA,240,lowmarsh,plot,TDR
TDR_1(2),TDR_12,plot,permittivity,NA,NA,240,lowmarsh,plot,TDR
TDR_1(3),TDR_13,plot,water_content,NA,NA,240,lowmarsh,plot,TDR
TDR_1(4),TDR_14,plot,temperature,NA,NA,240,lowmarsh,plot,TDR
TDR_1(5),TDR_15,plot,batt_v,NA,NA,240,lowmarsh,plot,TDR
TDR_a(1),TDR_a1,plot,rawdata,NA,NA,240,lowmarsh,plot,TDR
TDR_a(2),TDR_a2,plot,permittivity,NA,NA,240,lowmarsh,plot,TDR
TDR_a(3),TDR_a3,plot,water_content,NA,NA,240,lowmarsh,plot,TDR
TDR_a(4),TDR_a4,plot,temperature,NA,NA,240,lowmarsh,plot,TDR
TDR_a(5),TDR_a5,plot,batt_v,NA,NA,240,lowmarsh,plot,TDR
TDR_2(1),TDR_21,plot,rawdata,NA,NA,241,lowmarsh,plot,TDR
TDR_2(2),TDR_22,plot,permittivity,NA,NA,241,lowmarsh,plot,TDR
TDR_2(3),TDR_23,plot,water_content,NA,NA,241,lowmarsh,plot,TDR
TDR_2(4),TDR_24,plot,temperature,NA,NA,241,lowmarsh,plot,TDR
TDR_2(5),TDR_25,plot,batt_v,NA,NA,241,lowmarsh,plot,TDR
TDR_b(1),TDR_b1,plot,rawdata,NA,NA,241,lowmarsh,plot,TDR
TDR_b(2),TDR_b2,plot,permittivity,NA,NA,241,lowmarsh,plot,TDR
TDR_b(3),TDR_b3,plot,water_content,NA,NA,241,lowmarsh,plot,TDR
TDR_b(4),TDR_b4,plot,temperature,NA,NA,241,lowmarsh,plot,TDR
TDR_b(5),TDR_b5,plot,batt_v,NA,NA,241,lowmarsh,plot,TDR
TDR_3(1),TDR_31,plot,rawdata,NA,NA,242,lowmarsh,plot,TDR
TDR_3(2),TDR_32,plot,permittivity,NA,NA,242,lowmarsh,plot,TDR
TDR_3(3),TDR_33,plot,water_content,NA,NA,242,lowmarsh,plot,TDR
TDR_3(4),TDR_34,plot,temperature,NA,NA,242,lowmarsh,plot,TDR
TDR_3(5),TDR_35,plot,batt_v,NA,NA,242,lowmarsh,plot,TDR
TDR_c(1),TDR_c1,plot,rawdata,NA,NA,242,lowmarsh,plot,TDR
TDR_c(2),TDR_c2,plot,permittivity,NA,NA,242,lowmarsh,plot,TDR
TDR_c(3),TDR_c3,plot,water_content,NA,NA,242,lowmarsh,plot,TDR
TDR_c(4),TDR_c4,plot,temperature,NA,NA,242,lowmarsh,plot,TDR
TDR_c(5),TDR_c5,plot,batt_v,NA,NA,242,lowmarsh,plot,TDR
TDR_4(1),TDR_41,plot,rawdata,NA,NA,250,lowmarsh,plot,TDR
TDR_4(2),TDR_42,plot,permittivity,NA,NA,250,lowmarsh,plot,TDR
TDR_4(3),TDR_43,plot,water_content,NA,NA,250,lowmarsh,plot,TDR
TDR_4(4),TDR_44,plot,temperature,NA,NA,250,lowmarsh,plot,TDR
TDR_4(5),TDR_45,plot,batt_v,NA,NA,250,lowmarsh,plot,TDR
TDR_d(1),TDR_d1,plot,rawdata,NA,NA,250,lowmarsh,plot,TDR
TDR_d(2),TDR_d2,plot,permittivity,NA,NA,250,lowmarsh,plot,TDR
TDR_d(3),TDR_d3,plot,water_content,NA,NA,250,lowmarsh,plot,TDR
TDR_d(4),TDR_d4,plot,temperature,NA,NA,250,lowmarsh,plot,TDR
TDR_d(5),TDR_d5,plot,batt_v,NA,NA,250,lowmarsh,plot,TDR
TDR_5(1),TDR_51,plot,rawdata,NA,NA,251,lowmarsh,plot,TDR
TDR_5(2),TDR_52,plot,permittivity,NA,NA,251,lowmarsh,plot,TDR
TDR_5(3),TDR_53,plot,water_content,NA,NA,251,lowmarsh,plot,TDR
TDR_5(4),TDR_54,plot,temperature,NA,NA,251,lowmarsh,plot,TDR
TDR_5(5),TDR_55,plot,batt_v,NA,NA,251,lowmarsh,plot,TDR
TDR_e(1),TDR_e1,plot,rawdata,NA,NA,251,lowmarsh,plot,TDR
TDR_e(2),TDR_e2,plot,permittivity,NA,NA,251,lowmarsh,plot,TDR
TDR_e(3),TDR_e3,plot,water_content,NA,NA,251,lowmarsh,plot,TDR
TDR_e(4),TDR_e4,plot,temperature,NA,NA,251,lowmarsh,plot,TDR
TDR_e(5),TDR_e5,plot,batt_v,NA,NA,251,lowmarsh,plot,TDR
TDR_6(1),TDR_61,plot,rawdata,NA,NA,252,lowmarsh,plot,TDR
TDR_6(2),TDR_62,plot,permittivity,NA,NA,252,lowmarsh,plot,TDR
TDR_6(3),TDR_63,plot,water_content,NA,NA,252,lowmarsh,plot,TDR
TDR_6(4),TDR_64,plot,temperature,NA,NA,252,lowmarsh,plot,TDR
TDR_6(5),TDR_65,plot,batt_v,NA,NA,252,lowmarsh,plot,TDR
TDR_f(1),TDR_f1,plot,rawdata,NA,NA,252,lowmarsh,plot,TDR
TDR_f(2),TDR_f2,plot,permittivity,NA,NA,252,lowmarsh,plot,TDR
TDR_f(3),TDR_f3,plot,water_content,NA,NA,252,lowmarsh,plot,TDR
TDR_f(4),TDR_f4,plot,temperature,NA,NA,252,lowmarsh,plot,TDR
TDR_f(5),TDR_f5,plot,batt_v,NA,NA,252,lowmarsh,plot,TDR
TDR_7(1),TDR_71,plot,rawdata,NA,NA,260,lowmarsh,plot,TDR
TDR_7(2),TDR_72,plot,permittivity,NA,NA,260,lowmarsh,plot,TDR
TDR_7(3),TDR_73,plot,water_content,NA,NA,260,lowmarsh,plot,TDR
TDR_7(4),TDR_74,plot,temperature,NA,NA,260,lowmarsh,plot,TDR
TDR_7(5),TDR_75,plot,batt_v,NA,NA,260,lowmarsh,plot,TDR
TDR_g(1),TDR_g1,plot,rawdata,NA,NA,260,lowmarsh,plot,TDR
TDR_g(2),TDR_g2,plot,permittivity,NA,NA,260,lowmarsh,plot,TDR
TDR_g(3),TDR_g3,plot,water_content,NA,NA,260,lowmarsh,plot,TDR
TDR_g(4),TDR_g4,plot,temperature,NA,NA,260,lowmarsh,plot,TDR
TDR_g(5),TDR_g5,plot,batt_v,NA,NA,260,lowmarsh,plot,TDR
TDR_8(1),TDR_81,plot,rawdata,NA,NA,261,lowmarsh,plot,TDR
TDR_8(2),TDR_82,plot,permittivity,NA,NA,261,lowmarsh,plot,TDR
TDR_8(3),TDR_83,plot,water_content,NA,NA,261,lowmarsh,plot,TDR
TDR_8(4),TDR_84,plot,temperature,NA,NA,261,lowmarsh,plot,TDR
TDR_8(5),TDR_85,plot,batt_v,NA,NA,261,lowmarsh,plot,TDR
TDR_h(1),TDR_h1,plot,rawdata,NA,NA,261,lowmarsh,plot,TDR
TDR_h(2),TDR_h2,plot,permittivity,NA,NA,261,lowmarsh,plot,TDR
TDR_h(3),TDR_h3,plot,water_content,NA,NA,261,lowmarsh,plot,TDR
TDR_h(4),TDR_h4,plot,temperature,NA,NA,261,lowmarsh,plot,TDR
TDR_h(5),TDR_h5,plot,batt_v,NA,NA,261,lowmarsh,plot,TDR
TDR_9(1),TDR_91,plot,rawdata,NA,NA,262,lowmarsh,plot,TDR
TDR_9(2),TDR_92,plot,permittivity,NA,NA,262,lowmarsh,plot,TDR
TDR_9(3),TDR_93,plot,water_content,NA,NA,262,lowmarsh,plot,TDR
TDR_9(4),TDR_94,plot,temperature,NA,NA,262,lowmarsh,plot,TDR
TDR_9(5),TDR_95,plot,batt_v,NA,NA,262,lowmarsh,plot,TDR
TDR_i(1),TDR_i1,plot,rawdata,NA,NA,262,lowmarsh,plot,TDR
TDR_i(2),TDR_i2,plot,permittivity,NA,NA,262,lowmarsh,plot,TDR
TDR_i(3),TDR_i3,plot,water_content,NA,NA,262,lowmarsh,plot,TDR
TDR_i(4),TDR_i4,plot,temperature,NA,NA,262,lowmarsh,plot,TDR
TDR_i(5),TDR_i5,plot,batt_v,NA,NA,262,lowmarsh,plot,TDR
row_id,row_id,site,row_id,unique row id,NA,highmarsh,highmarsh,key,TDR
time2,time2,site,time2,revised timestamp,NA,highmarsh,highmarsh,key,TDR
TIMESTAMP,timestamp,site,timestamp,loggernet timestamp,NA,highmarsh,highmarsh,key,TDR
RECORD,record,site,record,record number,NA,highmarsh,highmarsh,logger,TDR
Logger,logger,site,logger,logger name,NA,highmarsh,highmarsh,key,TDR
Program,program,site,program,program version ,NA,highmarsh,highmarsh,logger,TDR
Table,table,site,table,table version,NA,highmarsh,highmarsh,logger,TDR
TDR_1(1),TDR_11,plot,rawdata,NA,NA,370,highmarsh,plot,TDR
TDR_1(2),TDR_12,plot,permittivity,NA,NA,370,highmarsh,plot,TDR
TDR_1(3),TDR_13,plot,water_content,NA,NA,370,highmarsh,plot,TDR
TDR_1(4),TDR_14,plot,temperature,NA,NA,370,highmarsh,plot,TDR
TDR_1(5),TDR_15,plot,batt_v,NA,NA,370,highmarsh,plot,TDR
TDR_a(1),TDR_a1,plot,rawdata,NA,NA,370,highmarsh,plot,TDR
TDR_a(2),TDR_a2,plot,permittivity,NA,NA,370,highmarsh,plot,TDR
TDR_a(3),TDR_a3,plot,water_content,NA,NA,370,highmarsh,plot,TDR
TDR_a(4),TDR_a4,plot,temperature,NA,NA,370,highmarsh,plot,TDR
TDR_a(5),TDR_a5,plot,batt_v,NA,NA,370,highmarsh,plot,TDR
TDR_2(1),TDR_21,plot,rawdata,NA,NA,371,highmarsh,plot,TDR
TDR_2(2),TDR_22,plot,permittivity,NA,NA,371,highmarsh,plot,TDR
TDR_2(3),TDR_23,plot,water_content,NA,NA,371,highmarsh,plot,TDR
TDR_2(4),TDR_24,plot,temperature,NA,NA,371,highmarsh,plot,TDR
TDR_2(5),TDR_25,plot,batt_v,NA,NA,371,highmarsh,plot,TDR
TDR_b(1),TDR_b1,plot,rawdata,NA,NA,371,highmarsh,plot,TDR
TDR_b(2),TDR_b2,plot,permittivity,NA,NA,371,highmarsh,plot,TDR
TDR_b(3),TDR_b3,plot,water_content,NA,NA,371,highmarsh,plot,TDR
TDR_b(4),TDR_b4,plot,temperature,NA,NA,371,highmarsh,plot,TDR
TDR_b(5),TDR_b5,plot,batt_v,NA,NA,371,highmarsh,plot,TDR
TDR_3(1),TDR_31,plot,rawdata,NA,NA,372,highmarsh,plot,TDR
TDR_3(2),TDR_32,plot,permittivity,NA,NA,372,highmarsh,plot,TDR
TDR_3(3),TDR_33,plot,water_content,NA,NA,372,highmarsh,plot,TDR
TDR_3(4),TDR_34,plot,temperature,NA,NA,372,highmarsh,plot,TDR
TDR_3(5),TDR_35,plot,batt_v,NA,NA,372,highmarsh,plot,TDR
TDR_c(1),TDR_c1,plot,rawdata,NA,NA,372,highmarsh,plot,TDR
TDR_c(2),TDR_c2,plot,permittivity,NA,NA,372,highmarsh,plot,TDR
TDR_c(3),TDR_c3,plot,water_content,NA,NA,372,highmarsh,plot,TDR
TDR_c(4),TDR_c4,plot,temperature,NA,NA,372,highmarsh,plot,TDR
TDR_c(5),TDR_c5,plot,batt_v,NA,NA,372,highmarsh,plot,TDR
TDR_4(1),TDR_41,plot,rawdata,NA,NA,380,highmarsh,plot,TDR
TDR_4(2),TDR_42,plot,permittivity,NA,NA,380,highmarsh,plot,TDR
TDR_4(3),TDR_43,plot,water_content,NA,NA,380,highmarsh,plot,TDR
TDR_4(4),TDR_44,plot,temperature,NA,NA,380,highmarsh,plot,TDR
TDR_4(5),TDR_45,plot,batt_v,NA,NA,380,highmarsh,plot,TDR
TDR_d(1),TDR_d1,plot,rawdata,NA,NA,380,highmarsh,plot,TDR
TDR_d(2),TDR_d2,plot,permittivity,NA,NA,380,highmarsh,plot,TDR
TDR_d(3),TDR_d3,plot,water_content,NA,NA,380,highmarsh,plot,TDR
TDR_d(4),TDR_d4,plot,temperature,NA,NA,380,highmarsh,plot,TDR
TDR_d(5),TDR_d5,plot,batt_v,NA,NA,380,highmarsh,plot,TDR
TDR_5(1),TDR_51,plot,rawdata,NA,NA,381,highmarsh,plot,TDR
TDR_5(2),TDR_52,plot,permittivity,NA,NA,381,highmarsh,plot,TDR
TDR_5(3),TDR_53,plot,water_content,NA,NA,381,highmarsh,plot,TDR
TDR_5(4),TDR_54,plot,temperature,NA,NA,381,highmarsh,plot,TDR
TDR_5(5),TDR_55,plot,batt_v,NA,NA,381,highmarsh,plot,TDR
TDR_e(1),TDR_e1,plot,rawdata,NA,NA,381,highmarsh,plot,TDR
TDR_e(2),TDR_e2,plot,permittivity,NA,NA,381,highmarsh,plot,TDR
TDR_e(3),TDR_e3,plot,water_content,NA,NA,381,highmarsh,plot,TDR
TDR_e(4),TDR_e4,plot,temperature,NA,NA,381,highmarsh,plot,TDR
TDR_e(5),TDR_e5,plot,batt_v,NA,NA,381,highmarsh,plot,TDR
TDR_6(1),TDR_61,plot,rawdata,NA,NA,382,highmarsh,plot,TDR
TDR_6(2),TDR_62,plot,permittivity,NA,NA,382,highmarsh,plot,TDR
TDR_6(3),TDR_63,plot,water_content,NA,NA,382,highmarsh,plot,TDR
TDR_6(4),TDR_64,plot,temperature,NA,NA,382,highmarsh,plot,TDR
TDR_6(5),TDR_65,plot,batt_v,NA,NA,382,highmarsh,plot,TDR
TDR_f(1),TDR_f1,plot,rawdata,NA,NA,382,highmarsh,plot,TDR
TDR_f(2),TDR_f2,plot,permittivity,NA,NA,382,highmarsh,plot,TDR
TDR_f(3),TDR_f3,plot,water_content,NA,NA,382,highmarsh,plot,TDR
TDR_f(4),TDR_f4,plot,temperature,NA,NA,382,highmarsh,plot,TDR
TDR_f(5),TDR_f5,plot,batt_v,NA,NA,382,highmarsh,plot,TDR
TDR_7(1),TDR_71,plot,rawdata,NA,NA,390,highmarsh,plot,TDR
TDR_7(2),TDR_72,plot,permittivity,NA,NA,390,highmarsh,plot,TDR
TDR_7(3),TDR_73,plot,water_content,NA,NA,390,highmarsh,plot,TDR
TDR_7(4),TDR_74,plot,temperature,NA,NA,390,highmarsh,plot,TDR
TDR_7(5),TDR_75,plot,batt_v,NA,NA,390,highmarsh,plot,TDR
TDR_g(1),TDR_g1,plot,rawdata,NA,NA,390,highmarsh,plot,TDR
TDR_g(2),TDR_g2,plot,permittivity,NA,NA,390,highmarsh,plot,TDR
TDR_g(3),TDR_g3,plot,water_content,NA,NA,390,highmarsh,plot,TDR
TDR_g(4),TDR_g4,plot,temperature,NA,NA,390,highmarsh,plot,TDR
TDR_g(5),TDR_g5,plot,batt_v,NA,NA,390,highmarsh,plot,TDR
TDR_8(1),TDR_81,plot,rawdata,NA,NA,391,highmarsh,plot,TDR
TDR_8(2),TDR_82,plot,permittivity,NA,NA,391,highmarsh,plot,TDR
TDR_8(3),TDR_83,plot,water_content,NA,NA,391,highmarsh,plot,TDR
TDR_8(4),TDR_84,plot,temperature,NA,NA,391,highmarsh,plot,TDR
TDR_8(5),TDR_85,plot,batt_v,NA,NA,391,highmarsh,plot,TDR
TDR_h(1),TDR_h1,plot,rawdata,NA,NA,391,highmarsh,plot,TDR
TDR_h(2),TDR_h2,plot,permittivity,NA,NA,391,highmarsh,plot,TDR
TDR_h(3),TDR_h3,plot,water_content,NA,NA,391,highmarsh,plot,TDR
TDR_h(4),TDR_h4,plot,temperature,NA,NA,391,highmarsh,plot,TDR
TDR_h(5),TDR_h5,plot,batt_v,NA,NA,391,highmarsh,plot,TDR
TDR_9(1),TDR_91,plot,rawdata,NA,NA,392,highmarsh,plot,TDR
TDR_9(2),TDR_92,plot,permittivity,NA,NA,392,highmarsh,plot,TDR
TDR_9(3),TDR_93,plot,water_content,NA,NA,392,highmarsh,plot,TDR
TDR_9(4),TDR_94,plot,temperature,NA,NA,392,highmarsh,plot,TDR
TDR_9(5),TDR_95,plot,batt_v,NA,NA,392,highmarsh,plot,TDR
TDR_i(1),TDR_i1,plot,rawdata,NA,NA,392,highmarsh,plot,TDR
TDR_i(2),TDR_i2,plot,permittivity,NA,NA,392,highmarsh,plot,TDR
TDR_i(3),TDR_i3,plot,water_content,NA,NA,392,highmarsh,plot,TDR
TDR_i(4),TDR_i4,plot,temperature,NA,NA,392,highmarsh,plot,TDR
TDR_i(5),TDR_i5,plot,batt_v,NA,NA,392,highmarsh,plot,TDR
row_id,row_id,site,row_id,unique row id,NA,cr1000_merit_highmarsh,cr1000_merit_highmarsh,key,TDR
time2,time2,site,time2,revised timestamp,NA,cr1000_merit_highmarsh,cr1000_merit_highmarsh,key,TDR
TIMESTAMP,timestamp,site,timestamp,loggernet timestamp,NA,cr1000_merit_highmarsh,cr1000_merit_highmarsh,key,TDR
RECORD,record,site,record,record number,NA,cr1000_merit_highmarsh,cr1000_merit_highmarsh,logger,TDR
Logger,logger,site,logger,logger name,NA,cr1000_merit_highmarsh,cr1000_merit_highmarsh,key,TDR
Program,program,site,program,program version ,NA,cr1000_merit_highmarsh,cr1000_merit_highmarsh,logger,TDR
Table,table,site,table,table version,NA,cr1000_merit_highmarsh,cr1000_merit_highmarsh,logger,TDR
TDR_1(1),TDR_11,plot,rawdata,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_1(2),TDR_12,plot,permittivity,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_1(3),TDR_13,plot,water_content,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_1(4),TDR_14,plot,temperature,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_1(5),TDR_15,plot,batt_v,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_a(1),TDR_a1,plot,rawdata,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_a(2),TDR_a2,plot,permittivity,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_a(3),TDR_a3,plot,water_content,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_a(4),TDR_a4,plot,temperature,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_a(5),TDR_a5,plot,batt_v,NA,NA,370,cr1000_merit_highmarsh,plot,TDR
TDR_2(1),TDR_21,plot,rawdata,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_2(2),TDR_22,plot,permittivity,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_2(3),TDR_23,plot,water_content,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_2(4),TDR_24,plot,temperature,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_2(5),TDR_25,plot,batt_v,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_b(1),TDR_b1,plot,rawdata,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_b(2),TDR_b2,plot,permittivity,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_b(3),TDR_b3,plot,water_content,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_b(4),TDR_b4,plot,temperature,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_b(5),TDR_b5,plot,batt_v,NA,NA,371,cr1000_merit_highmarsh,plot,TDR
TDR_3(1),TDR_31,plot,rawdata,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_3(2),TDR_32,plot,permittivity,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_3(3),TDR_33,plot,water_content,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_3(4),TDR_34,plot,temperature,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_3(5),TDR_35,plot,batt_v,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_c(1),TDR_c1,plot,rawdata,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_c(2),TDR_c2,plot,permittivity,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_c(3),TDR_c3,plot,water_content,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_c(4),TDR_c4,plot,temperature,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_c(5),TDR_c5,plot,batt_v,NA,NA,372,cr1000_merit_highmarsh,plot,TDR
TDR_4(1),TDR_41,plot,rawdata,NA,NA,380,cr1000_merit_highmarsh,plot,TDR
TDR_4(2),TDR_42,plot,permittivity,NA,NA,380,cr1000_merit_highmarsh,plot,TDR
TDR_4(3),TDR_43,plot,water_content,NA,NA,380,cr1000_merit_highmarsh,plot,TDR
TDR_4(4),TDR_44,plot,temperature,NA,NA,380,cr1000_merit_highmarsh,plot,TDR
TDR_4(5),TDR_45,plot,batt_v,NA,NA,380,cr1000_merit_highmarsh,plot,TDR
TDR_d(1),TDR_d1,plot,rawdata,NA,NA,380,cr1000_merit_highmarsh,plot,TDR
TDR_d(2),TDR_d2,plot,permittivity,NA,NA,380,cr1000_merit_highmarsh,plot,TDR
TDR_d(3),TDR_d3,plot,water_content,NA,NA,380,cr1000_merit_highmarsh,plot,TDR
